id,category,author,name,address,lat,lng,status,rating,opened,planned,organisation_id
73919,6.25,1087,Партизанович,"рядом с проспект Газеты Звязда, 17",53.86928558,27.47457886,5,0,2017-05-01 2017,2018-09-01,134
73942,11.99,26767,Илона,"улица Никифорова, 17",53.94125366,27.69062042,5,0,2017-05-01 2017,2018-08-31,127
74010,6.25,38029,Владимир,"улица Рафиева, 90",53.85979462,27.43367004,5,0,2017-05-01 2017,2018-09-01,134
74075,6.25,35578,Дмитрий,"рядом с улица Лещинского, 17",53.91065979,27.45073128,5,0,2017-05-01 2017,2018-12-01,139
74110,11.94,26073,Андрей,"улица Космонавтов, 17",53.85145569,27.46486282,5,0,2017-05-02 2017,2018-11-30,124
74124,20.293,9027,Елена,проспект Независимости 169f,53.94423676,27.66860199,5,0,2017-05-01 2017,2018-09-30,137
74125,20.293,9027,Елена,проспект Независимости 169f,53.94429779,27.66781807,5,0,2017-05-01 2017,2018-11-20,137
74127,20.283,12251,Антон,vulica Prytyckaha 29,53.90836334,27.48411179,5,0,2017-05-01 2017,2018-09-30,145
74170,6.26,1223,Михаил,"рядом с 3-я улица Щорса, 6",53.88299179,27.51334763,7,0,2017-05-02 2017,2019-04-30,134
74188,11.94,21211,Сергей,"Минск,  Козыревская улица,  22",53.86671448,27.56518936,5,0,2017-05-02 2017,2018-07-25,123
74288,11.98,39603,Андрей,"Фабричная улица, 25",53.88605499,27.59132004,5,0,2017-05-02 2017,2018-09-30,123
74299,20.293,1126,Александр,"рядом с Городецкая улица, 70",53.94811249,27.66736031,5,0,2017-05-02 2017,2018-08-31,147
74321,11.98,39603,Андрей,"улица Судмалиса, 26",53.89040756,27.58947372,5,0,2017-05-02 2017,2018-08-25,123
74356,11.99,36578,Andrey,"улица Бельского, 8",53.90649796,27.47928429,5,0,2017-05-02 2017,2018-09-30,129
74371,20.293,40143,Игорь,"рядом с улица Якубовского, 66",53.89025497,27.45504761,5,0,2017-05-02 2017,2018-11-01,150
74501,20.283,16392,Павел,vulica Kasmanaŭtaŭ 33,53.84851456,27.45603752,5,0,2017-05-03 2017,2018-11-02,157
74502,20.293,16392,Павел,vulica Jasienina 19б,53.84989166,27.45935059,5,0,2017-05-03 2017,2018-09-30,157
74508,21.299,40381,Анатолий,"рядом с Долгобродская улица, 53",53.87775040,27.62897110,5,0,2017-05-03 2017,2019-06-29,182
74510,20.294,14785,Антон,улица Колесникова 26Минск,53.92111206,27.43795395,5,0,2017-05-03 2017,2019-12-01,150
74516,11.100,27832,Андрей,"улица Одоевского, 44",53.90364838,27.48532486,5,0,2017-05-03 2017,2018-10-31,234
74520,20.293,16392,Павел,vulica Slabadskaja 163,53.84470367,27.46605873,5,0,2017-05-03 2017,2018-10-30,157
74521,20.293,16392,Павел,vulica Slabadskaja 151,53.84485245,27.45943260,5,0,2017-05-03 2017,2018-11-30,157
74570,11.103,7256,Владимир,"проспект Независимости, 131 к1",53.93318558,27.64361191,5,0,2017-05-03 2017,2018-12-21,137
74591,20.293,40402,Егор,"рядом с проспект Дзержинского, 11",53.88858414,27.52054214,5,0,2017-05-03 2017,2018-10-31,157
74593,20.286,15318,Иван,"рядом с Автодоровская улица, 3",53.87592697,27.52200317,7,0,2017-05-03 2017,2020-06-30,177
74639,9.55,25447,Ирина,"улица Никифорова, 8",53.93819809,27.69011307,5,0,2017-05-04 2017,2018-07-12,72
74710,20.294,703,Евгений,улица Платонова 45Минск,53.91274643,27.59925270,5,0,2017-05-04 2017,2018-11-30,147
74713,20.291,3331,Александр,"рядом с проспект Независимости, 154",53.93801880,27.67385483,5,0,2017-05-04 2017,2018-08-01,137
74797,6.36,18722,Владимир,"рядом с улица Нестерова, 53 к3",53.88615036,27.68391228,5,0,2017-05-04 2017,2018-10-31,122
74804,20.280,5999,Фёдор,"рядом с проспект Газеты Правда, 60 к2",53.85824585,27.47220802,5,0,2017-05-04 2017,2018-09-01,134
74850,11.99,12832,Екатерина,"Минск,  улица Максима Богдановича,  53",53.91873932,27.56444931,5,0,2017-05-04 2017,2018-09-30,128
74918,20.281,12776,Иван,переулок Софьи Ковалевской 24Минск,53.87031937,27.51373482,5,0,2017-05-05 2017,2018-11-15,134
74930,6.25,8352,Уладзімір,"Разинская улица, 64",53.88298798,27.52170563,5,0,2017-05-05 2017,2018-12-01,134
74931,6.370,40462,екатерина,"улица Карвата, 17",53.91069031,27.67286682,5,0,2017-05-05 2017,2018-10-31,126
74940,6.25,40163,Петр,"Ташкентская улица, 24 к3",53.84637451,27.63453293,5,0,2017-05-05 2017,2018-09-10,132
74971,20.293,16392,Павел,vulica Jasienina 23/1,53.85067368,27.45591736,5,0,2017-05-05 2017,2018-07-30,157
74982,20.294,122,Наблюдает,"ул. Городской Вал 9, Минск, Беларусь",53.90026855,27.55123329,5,0,2017-05-05 2017,2018-10-31,157
74984,20.286,1409,Евгений,"рядом с улица Матусевича, 53А",53.91587067,27.44608307,5,0,2017-05-05 2017,2018-12-31,130
74996,20.294,842,Siarhei,улица Чижевских 17Минск,53.85071182,27.57153511,5,0,2017-05-05 2017,2018-09-28,253
74997,20.294,842,Siarhei,переулок ЧижевскихМинск,53.84830093,27.57016754,5,0,2017-05-05 2017,2018-12-25,161
75032,20.293,527,Вадзім,"рядом с улица Чюрлёниса, 24",53.85345840,27.48758125,5,0,2017-05-05 2017,2019-05-31,157
75037,20.293,527,Вадзім,"рядом с Каролинская улица, 14",53.85323334,27.49302483,5,0,2017-05-05 2017,2019-05-31,157
75057,6.26,17871,Алексей,"улица Карла Либкнехта, 133",53.89154434,27.50782394,5,0,2017-05-05 2017,2018-06-30,188
75098,6.25,4756,Роман,переулок Корженевского 2аМинск,53.84534073,27.52537727,5,0,2017-05-05 2017,2018-09-14,135
75120,6.25,24732,Андрей,улица Яна Чечота 23-25Минск,53.84694672,27.48643303,5,0,2017-05-05 2017,2019-02-01,134
75130,20.283,9140,Андрей,проезд Клубный 3,53.88478088,27.59305000,5,0,2017-05-05 2017,2018-11-05,133
75147,6.26,9140,Андрей,Партизанский проспект 29а,53.88345337,27.59689140,5,0,2017-05-05 2017,2018-12-31,123
75151,20.296,12251,Антон,vulica Bieĺskaha 19,53.90425873,27.48173904,5,0,2017-05-05 2017,2018-10-19,145
75233,6.37,26258,Александра,улица Шаранговича 52Минск,53.88193893,27.43512726,5,0,2017-05-06 2017,2019-06-30,129
75235,6.25,40467,Евгения,улица Скрипникова 10Минск,53.89110947,27.42213631,5,0,2017-05-06 2017,2018-10-01,139
75261,6.25,1551,Елена,улица Романовская Слобода 3аМинск,53.90199280,27.54728889,5,0,2017-05-06 2017,2018-12-01,134
75279,20.294,668,Андрей,"рядом с улица Платонова, 40",53.91436386,27.60343552,5,0,2017-05-06 2017,2019-12-31,147
75280,20.294,668,Андрей,"рядом с улица Платонова, 32",53.91215134,27.59858513,5,0,2017-05-06 2017,2018-11-30,147
75281,20.294,668,Андрей,"рядом с улица Платонова, 24",53.91132355,27.59685135,5,0,2017-05-06 2017,2019-06-30,147
75304,6.36,40561,Виктория,"улица Гинтовта, 32",53.95227432,27.68425941,5,0,2017-05-07 2017,2018-08-22,127
75334,20.294,13264,Артур,проспект Жукова 44Минск,53.87717819,27.51923180,5,0,2017-05-06 2017,2018-12-31,157
75428,20.294,842,Siarhei,улица Ванеева 46Минск,53.87687302,27.58420944,5,0,2017-05-07 2017,2018-12-10,161
75459,6.25,24732,Андрей,улица Яна Чечота 23Минск,53.84759521,27.48724365,5,0,2017-05-07 2017,2018-09-01,134
75460,20.293,19987,Сергей,улица НебеснаяМинск,53.95056915,27.66819382,5,0,2017-05-07 2017,2018-11-02,147
75492,20.280,8212,Иван,улица Белецкого 2Минск,53.85855484,27.46999741,5,0,2017-05-08 2017,2018-09-01,134
75499,20.293,19987,Сергей,улица НебеснаяМинск,53.94986343,27.66869926,5,0,2017-05-08 2017,2018-08-20,147
75500,20.293,19987,Сергей,улица НебеснаяМинск,53.94961548,27.66909599,5,0,2017-05-08 2017,2018-08-20,147
75519,20.296,17804,Аляксандр,"рядом с улица Калиновского, 107",53.94472885,27.64260674,5,0,2017-05-08 2017,2018-11-25,146
75523,6.36,17804,Аляксандр,"рядом с улица Гинтовта, 32",53.95180893,27.68445587,5,0,2017-05-08 2017,2018-09-22,127
75571,6.25,2515,Алексей,улица Рафиева 83Минск,53.86072540,27.44042206,7,0,2017-05-08 2017,2019-04-30,134
75578,20.294,9463,Сергей,"ул. Слободская 128, Минск, Беларусь",53.84909439,27.44140816,5,0,2017-05-08 2017,2018-11-09,157
75580,20.294,9463,Сергей,"Слободской пр. 18, Минск, Беларусь",53.85140610,27.44703293,5,0,2017-05-08 2017,2018-06-30,157
75581,20.294,9463,Сергей,"ул. Есенина 35/1, Минск, Беларусь",53.85266876,27.44938469,5,0,2017-05-08 2017,2018-12-29,157
75583,6.25,4756,Роман,улица Есенина 143Минск,53.86461258,27.42918968,7,0,2017-05-08 2017,2019-04-30,134
75604,6.25,17990,Елена,"Новинковская улица, 4",53.95799255,27.53860283,5,0,2017-05-09 2017,2018-09-01,242
75612,20.286,8719,Виктор,"рядом с проспект Независимости, 31А",53.90647888,27.57037544,5,0,2017-05-09 2017,2018-10-30,177
75627,6.37,169,Евгений,"рядом с улица Пономаренко, 24",53.89546967,27.48822403,5,0,2017-05-09 2017,2018-07-26,234
75721,20.294,2537,Андрей,лобанка 14,53.90421677,27.43422127,5,0,2017-05-09 2017,2018-08-23,139
75778,6.26,2249,Владислав,улица Лермонтова 24,53.88801956,27.51682281,7,0,2017-05-10 2017,2019-03-01,134
75794,20.293,39603,Андрей,"рядом с Восточный переулок, 82",53.93836212,27.59502602,5,0,2017-05-10 2017,2018-11-01,159
75800,6.37,16392,Павел,vulica Kurhannaja 2,53.85272217,27.46558380,5,0,2017-05-10 2017,2018-07-21,157
75805,6.37,11185,Maksim,проспект Любимова 15/2Минск,53.85842514,27.46461105,5,0,2017-05-10 2017,2018-09-30,124
75819,6.37,22095,Оксана,улица Никифорова 41Минск 220141,53.94193649,27.69513130,5,0,2017-05-10 2017,2019-12-16,127
75832,6.25,5999,Фёдор,"рядом с улица Космонавтов, 7 к1",53.85368729,27.46924019,5,0,2017-05-10 2017,2019-02-01,134
75833,6.25,5999,Фёдор,"рядом с улица Космонавтов, 7 к1",53.85396957,27.47064209,5,0,2017-05-10 2017,2019-02-01,134
75871,6.26,169,Евгений,"рядом с улица Янки Мавра, 68В",53.89547729,27.49047852,5,0,2017-05-10 2017,2018-08-01,129
75907,6.37,32520,Александр,"Минск,  Фабричная улица,  16",53.88664627,27.58613014,5,0,2017-05-10 2017,2018-09-30,123
76001,6.37,94,Сергей,улица Воронянского 7а,53.87812042,27.54319572,5,0,2017-05-11 2017,2017-05-23,135
76035,20.280,5999,Фёдор,"рядом с проспект Любимова, 7",53.85816193,27.46988106,5,0,2017-05-11 2017,2018-09-01,134
76036,20.280,5999,Фёдор,"рядом с проспект Любимова, 7",53.85804749,27.46983528,5,0,2017-05-11 2017,2018-09-01,134
76037,20.280,5999,Фёдор,"рядом с проспект Любимова, 7",53.85803223,27.46974945,5,0,2017-05-11 2017,2018-09-01,134
76044,6.25,5999,Фёдор,"рядом с улица Космонавтов, 7 к1",53.85393143,27.47069931,7,0,2017-05-11 2017,2019-04-30,134
76046,6.25,5999,Фёдор,"рядом с улица Космонавтов, 7 к2",53.85382080,27.47109795,5,0,2017-05-11 2017,2019-02-01,134
76048,6.25,5999,Фёдор,"рядом с улица Космонавтов, 7 к2",53.85376740,27.47126198,5,0,2017-05-11 2017,2018-09-01,134
76050,20.280,5999,Фёдор,"рядом с проспект Любимова, 20",53.85968399,27.46576118,5,0,2017-05-11 2017,2018-09-01,134
76063,6.37,23152,Екатерина,"улица Одоевского, 38",53.90294647,27.48797989,5,0,2017-05-11 2017,2018-10-31,234
76069,6.36,9058,Anfiska,"проспект Пушкина, 93",53.92610168,27.50240707,5,0,2017-05-11 2017,2018-09-30,130
76077,6.29,18317,Дмитрий,"рядом с улица Червякова, 2 к2",53.92119217,27.55439377,5,0,2017-05-11 2017,2019-06-28,243
76125,6.25,36469,Дмитрий,улица Яна Чечота 11Минск,53.84940338,27.48002243,5,0,2017-05-11 2017,2018-09-01,134
76126,6.36,40657,Вадим,проспект Рокоссовского 49,53.86783218,27.60225296,5,0,2017-05-11 2017,2018-10-01,133
76176,20.293,8645,Г,улица Матусевича 69Минск,53.91679001,27.44427490,5,0,2017-05-12 2017,2019-09-30,177
76182,9.57,16476,Кристина,"улица Киселёва, 4",53.91025543,27.57350159,5,0,2017-05-12 2017,2018-10-30,131
76198,6.25,3760,Алексей,"рядом с Молочный переулок, 4",53.88955688,27.53797150,5,0,2017-05-12 2017,2018-09-01,134
76221,6.33,38735,Марина,улица Народная 13Минск,53.87591553,27.61700058,5,2,2017-05-12 2017,2018-09-01,164
76234,6.37,465,Елена,улица Уборевича 158Минск,53.83496857,27.61852646,5,0,2017-05-12 2017,2018-10-15,122
76256,20.283,1285,Евгений,"рядом с улица Притыцкого, 48",53.90887833,27.48040390,5,0,2017-05-12 2017,2019-06-29,145
76260,11.99,17360,Елена,"улица Гуртьева, 20",53.95899963,27.74194145,5,0,2017-05-12 2017,2018-08-31,127
76274,6.25,3309,Евгений,"рядом с улица Горовца, 34",53.86653900,27.61280251,5,0,2017-05-12 2017,2018-05-31,133
76346,20.280,13022,Марина,улица Каролинская 14Минск,53.85255051,27.49060059,5,0,2017-05-13 2017,2018-09-01,134
76406,6.26,1409,Евгений,"рядом с улица Лещинского, 47",53.91526794,27.44662476,5,0,2017-05-14 2017,2018-08-15,231
76478,6.37,35007,Петр,"улица Притыцкого, 26",53.91097641,27.49745369,5,0,2017-05-15 2017,2018-09-30,246
76483,20.294,9165,Дмитрий,улица Колесникова 4Минск,53.91731262,27.43754387,5,0,2017-05-14 2017,2019-12-01,150
76517,20.294,13264,Артур,улица Бобруйская 1Минск,53.89292145,27.54171753,5,0,2017-05-14 2017,2018-11-28,157
76520,20.294,13264,Артур,улица Клары Цеткин 5Минск,53.89331055,27.54113388,5,0,2017-05-14 2017,2019-12-31,157
76525,20.294,13264,Артур,1-й Извозный переулокМинск,53.89063263,27.52482986,5,0,2017-05-14 2017,2020-12-31,157
76526,20.294,13264,Артур,улица Хмелевского 12аМинск,53.88883591,27.52152252,5,0,2017-05-14 2017,2020-12-31,157
76527,20.296,2537,Андрей,улица Притыцкого 93Минск,53.90567780,27.43939400,5,0,2017-05-14 2017,2018-08-24,145
76542,20.294,13264,Артур,улица Воронянского 4аМинск,53.87804031,27.53840446,5,0,2017-05-14 2017,2017-12-12,135
76543,20.294,13264,Артур,улица Воронянского 4аМинск,53.87818909,27.53870964,5,0,2017-05-14 2017,2017-07-31,135
76545,20.294,13264,Артур,улица Воронянского 4/1Минск,53.87805939,27.54019547,5,0,2017-05-14 2017,2017-07-31,135
76571,6.29,22717,Наталия,улица Шугаева 21/2Минск 220141,53.93529510,27.68355560,5,0,2017-05-14 2017,2018-07-29,72
76630,6.26,14569,СЕРГЕЙ,"улица Селицкого, 79",53.83831406,27.70341682,5,0,2017-05-15 2017,2018-10-11,122
76636,6.37,25443,Ксения,"улица Гикало, 26",53.91117096,27.59400940,5,0,2017-05-15 2017,2019-06-29,128
76638,11.103,14569,СЕРГЕЙ,"улица Селицкого, 79",53.83831406,27.70341682,5,0,2017-05-15 2017,2018-09-30,222
76691,6.37,39172,Никита,"Краснослободская улица, 3 к1",53.84142685,27.63569450,5,0,2017-05-15 2017,2018-10-15,122
76773,6.36,38366,Алексей,улица Калиновского 53/2Минск,53.94794846,27.62841797,5,0,2017-05-16 2017,2018-11-30,127
76817,11.103,4549,Сергей,"улица Селицкого, 81",53.83876801,27.70413399,5,0,2017-05-16 2017,2018-09-30,222
76910,6.37,4972,Дзяніс,"рядом с улица Шугаева, 7",53.94023895,27.68001556,5,0,2017-05-17 2017,2018-07-30,72
76926,20.293,1191,Дмитрий,улица Лещинского 8/5Минск,53.91119003,27.45271301,7,0,2017-05-16 2017,2019-09-30,139
76949,20.294,40958,Аркадий,Партизанский проспект 2/2Минск,53.88619995,27.58218956,5,0,2017-05-16 2017,2018-12-25,161
76950,20.294,40958,Аркадий,Партизанский проспект 2/4Минск,53.88587189,27.58347130,5,0,2017-05-16 2017,2018-12-25,161
76951,20.294,40958,Аркадий,Партизанский проспект 4Минск,53.88571548,27.58387947,5,0,2017-05-16 2017,2018-12-25,161
76952,20.294,40958,Аркадий,Партизанский проспект 4Минск,53.88543701,27.58475304,5,0,2017-05-16 2017,2018-12-25,161
76995,22.306,38917,Л,"улица Чапаева, 4А",53.90301514,27.59006882,5,0,2017-05-17 2017,2019-03-04,136
77021,20.293,39603,Андрей,"рядом с Тиражная улица, 40",53.93918610,27.59294701,5,0,2017-05-17 2017,2018-11-01,159
77028,6.37,39603,Андрей,"Волгоградская улица, 1 к3",53.92891693,27.62477112,5,0,2017-05-17 2017,2019-03-15,127
77031,20.283,39603,Андрей,"рядом с Волгоградская улица, 1 к2",53.92844772,27.62530136,5,0,2017-05-17 2017,2019-06-29,147
77036,6.27,40674,Олег,улица Кальварийская 1Минск,53.90505600,27.53934669,5,0,2017-05-17 2017,2018-07-01,134
77085,20.296,17804,Аляксандр,"рядом с Шафарнянская улица, 1",53.95166779,27.67911148,5,0,2017-05-17 2017,2018-11-30,146
77086,20.293,40519,с,"рядом с Железнодорожная улица, 18А",53.88266754,27.52725983,5,0,2017-05-17 2017,2018-09-30,157
77087,20.293,17804,Аляксандр,"рядом с Шафарнянская улица, 1",53.95164490,27.67917442,5,0,2017-05-17 2017,2018-11-30,146
77089,20.294,17804,Аляксандр,"рядом с улица Карбышева, 42",53.95005035,27.63904953,5,0,2017-05-17 2017,2018-11-09,147
77090,20.294,40519,с,"рядом с Суражская улица, 8",53.88398361,27.53399086,5,0,2017-05-17 2017,2018-11-26,157
77128,20.293,18164,Евгений,"рядом с Слободской проезд, 4",53.84844589,27.44252205,5,0,2017-05-18 2017,2018-10-30,157
77145,6.371,26442,Алексей,улица Козыревская 35/1,53.86287689,27.56816292,5,0,2017-05-17 2017,2018-10-02,133
77207,20.293,30039,Даниил,"рядом с Грушевская улица, 102",53.88288498,27.51534271,7,0,2017-05-18 2017,2019-03-02,134
77243,20.294,703,Евгений,улица Кульман 2Минск,53.91934586,27.58481979,5,0,2017-05-18 2017,2018-11-26,138
77288,20.294,703,Евгений,улица Корш-Саблина 9Минск,53.93627167,27.59169197,5,0,2017-05-18 2017,2018-11-06,138
77306,20.296,35920,Галя,"рядом с улица Притыцкого, 46",53.90822983,27.48258781,5,0,2017-05-18 2017,2018-09-30,145
77308,6.37,35920,Галя,"рядом с улица Одинцова, 19",53.89862823,27.45031548,7,0,2017-05-18 2017,2019-08-19,145
77354,20.294,40958,Аркадий,около улица Мясникова 37Минск,53.89609909,27.54211807,5,0,2017-05-18 2017,2018-11-29,157
77357,20.294,40958,Аркадий,около улица Немига 5Минск,53.90287018,27.55032349,5,0,2017-05-18 2017,2019-06-01,140
77358,20.294,40958,Аркадий,улица Комсомольская 3Минск,53.90357971,27.55131149,5,0,2017-05-18 2017,2019-06-01,140
77401,6.25,36382,Дмитрий,"проспект Дзержинского, 11",53.88812637,27.52088356,5,0,2017-05-19 2017,2018-09-01,134
77403,20.294,40958,Аркадий,"рядом с улица Маяковского, 24",53.87688828,27.56882095,5,0,2017-05-19 2017,2018-12-25,161
77404,20.294,40958,Аркадий,"рядом с улица Маяковского, 79",53.87573242,27.56903648,5,0,2017-05-19 2017,2018-12-25,161
77405,20.294,40958,Аркадий,"рядом с Полевая улица, 24",53.87417221,27.57024765,5,0,2017-05-19 2017,2018-12-25,161
77406,20.294,40958,Аркадий,"рядом с улица Маяковского, 15",53.88209534,27.56847572,5,0,2017-05-19 2017,2018-12-25,161
77415,20.294,13264,Артур,"рядом с проспект Рокоссовского, 2",53.87531662,27.59615135,5,0,2017-05-19 2017,2018-12-25,161
77436,20.294,13264,Артур,"рядом с проспект Рокоссовского, 2",53.87593842,27.59482574,5,0,2017-05-19 2017,2018-12-25,161
77437,20.294,13264,Артур,"рядом с 2-й Велосипедный переулок, 28",53.87565231,27.59232521,5,0,2017-05-19 2017,2018-12-25,161
77442,20.294,13264,Артур,"рядом с Денисовская улица, 41",53.87310028,27.57469559,5,0,2017-05-19 2017,2018-12-25,161
77443,20.294,13264,Артур,"рядом с Денисовская улица, 35",53.87287521,27.57166862,5,0,2017-05-19 2017,2018-12-25,161
77444,20.294,13264,Артур,"рядом с Денисовская улица, 35",53.87285233,27.57106018,5,0,2017-05-19 2017,2018-12-25,161
