id,category,author,name,address,lat,lng,status,rating,opened,planned,organisation_id
137968,6.25,4549,Сергей,"рядом с улица Алеся Бачило, 12",53.84207535,27.70086098,5,0,2018-02-01 2018,2018-07-10,132
137969,20.280,4549,Сергей,"рядом с улица Алеся Бачило, 9",53.84166718,27.70041084,5,0,2018-02-01 2018,2018-07-10,132
138044,6.25,22193,Максим,"Партизанский проспект, 48",53.87479782,27.62473106,5,0,2018-02-01 2018,2018-09-20,132
138045,6.371,59481,Александр,"рядом с улица Якубовского, 52",53.89251709,27.45238113,5,0,2018-02-01 2018,2019-09-30,139
138049,6.371,59481,Александр,"рядом с улица Якубовского, 70",53.89229584,27.44704437,7,0,2018-02-01 2018,2019-09-30,139
138050,6.371,59481,Александр,"рядом с улица Якубовского, 54А",53.89266968,27.44649124,5,0,2018-02-01 2018,2019-09-30,139
138087,6.37,54161,Sergei,"ул. Интернациональная 13, Минск, Беларусь",53.90210724,27.55429459,5,0,2018-02-01 2018,2018-07-31,248
138102,11.102,60670,Вероника,"Слободская улица, 17",53.86159897,27.43114471,5,0,2018-02-01 2018,2018-11-30,124
138103,6.27,60687,вадим,"улица Щорса, 3",53.88171005,27.51876640,5,0,2018-02-01 2018,2018-10-31,144
138113,6.26,60687,вадим,"рядом с улица Щорса, 3",53.88189316,27.51943779,7,0,2018-02-01 2018,2019-02-03,134
138156,6.30,49174,Иннокентий,"улица Болеслава Берута, 6 к2",53.90694427,27.49975967,5,0,2018-02-01 2018,2018-07-25,232
138162,6.325,9140,Андрей,улица Карла Маркса 40,53.90152740,27.56575584,5,0,2018-02-01 2018,2018-12-01,227
138169,20.296,13370,Виктор,"Прикуривающий, ул. Ленинградская, Минск, Беларусь",53.89493179,27.55100060,5,0,2018-02-01 2018,2019-05-01,182
138172,20.283,9140,Андрей,"рядом с улица Захарова, 59",53.89910507,27.58612823,5,0,2018-02-01 2018,2018-08-31,152
138179,20.293,9140,Андрей,"рядом с улица Захарова, 67 к2",53.89687347,27.58820724,5,0,2018-02-01 2018,2018-08-31,152
138181,20.293,9140,Андрей,"рядом с улица Захарова, 69",53.89575577,27.58922768,5,0,2018-02-01 2018,2018-08-31,152
138187,20.285,59020,Алиса,"рядом с Московская улица, 6",53.89222336,27.54102516,5,0,2018-02-01 2018,2018-07-07,157
138213,6.25,60562,Лариса,"улица Янковского, 15",53.88127136,27.44317436,5,0,2018-02-02 2018,2018-12-04,236
